Ref#,Date,Time,Item Code,Description,Qty In Stock,Price,Sales Qty,Sales Price,Discount %,Total Sales,Price in USD,Group,Category,"Quantity
On Hand","Retail
Price","Opening
Cost USD",Color,Size
SIH0000001,2/9/2021,17:03,237,SHOES WOMEN NB,0,25,1,136000,0,136000,15.38,SHOES,Women,0,25,10,GRAY PINK,38.5
SIH0000002,2/9/2021,17:25,487,CLEANER ALL WINGO,48,1,1,8800,14.9148,7487.4976,1,none CLEANER,Unisex,0,1,0.6,none,none
SIH0000002,2/9/2021,17:25,486,SHAMPOO ALL TODAY HANDWASH,-1,1,1,8800,14.9148,7487.4976,1,none SHAMPOO,Unisex,0,1,0.6,none,none
SIH0000002,2/9/2021,17:25,261,SHOES WOMEN PUMA,0,40,1,352000,9.0909,320000.032,36.18,SHOES,Women,0,40,28,WHITE BLACK MAUVE,36
SIH0000002,2/9/2021,17:25,484,CLEANER ALL ALIO,-1,1,2,8800,14.9148,14974.9952,1.69,none CLEANER,Unisex,0,1,0.5,none,none
SIH0000003,2/9/2021,17:19,499,CREME WOMEN UMIDO HAND CREME,0,2,1,17600,15.625,14850,1.68,none CREME,Women,0,2,1,none,none
SIH0000004,2/9/2021,17:25,346,SHOES BOY SKECHERS,0,13,1,92000,0,92000,10.4,SHOES,Men,0,13,8,BLACK BLUE GREY,26.5
SI0000001,2/10/2021,15:40,7,SHOES MEN NIKE,0,75,1,666000,0,666000,75.35,SHOES,Men,0,75,47,BLACK,42
SI0000002,2/10/2021,15:43,606,SHOES KIDS NB,0,15,1,137000,0,137000,15.5,SHOES,Kids,0,15,10,BLUE,35
SI0000003,2/10/2021,15:44,602,SHOES WOMEN NB,0,15,1,137000,0,137000,15.5,SHOES,Women,0,15,10,RED,37.5
SI0000004,2/10/2021,15:46,253,SHOES WOMEN ASICS,0,25,1,137000,0,137000,15.5,SHOES,Women,0,25,10,PINK BLACK,39
SI0000005,2/10/2021,15:47,294,SHOES KIDS CONVERSE,0,13,1,157000,0,157000,17.76,SHOES,Kids,0,13,5,NAVY WHITE,34
SI0000006,2/10/2021,15:48,348,SHOES BOY SKECHERS,0,13,1,92000,0,92000,10.41,SHOES,Men,0,13,8,BLACK,20.5
SIH0000005,2/10/2021,16:49,126,HOODIES FLEECE MEN PUMA,0,35,1,308000,11.7647,271764.724,30.75,HOODIE,Men,0,35,22,BLACK,M
SIH0000005,2/10/2021,16:49,136,SWEATSHIRT MEN GANT,0,27,1,237600,11.7647,209647.0728,23.72,SWEATSHIRT,Men,0,27,20,BLUE,M
