Date,Item Code,Sales Qty,Price in USD,Purchase Date,ItemCode,Item Description,Purchase Qty,Purchase Amount,Supplier,Code,Group,Category,"Quantity
On Hand","Retail
Price","Opening
Cost USD",Color,Size,month_name,year
2/10/2021,606,1,15.5,10/2/2021,606,KJ775BOY SHOES KIDS NB 35,1,10,Ali Taleb,606,SHOES,KIDS,0,15,10,BLUE,35,October,2021
2/10/2021,602,1,15.5,10/2/2021,602,WXAGLPW2 SHOES WOMEN NB 37.5,1,10,Ali Taleb,602,SHOES,WOMEN,0,15,10,RED,37.5,October,2021
2/14/2021,534,1,44,10/2/2021,534,FX7946 SHOES WOMEN REEBOK 38.5,2,68,Ali Taleb,534,SHOES,WOMEN,0,50,34,NAVY,38.5,October,2021
2/15/2021,562,1,39.62,10/2/2021,562,H67656 SHOES WOMEN REEBOK 37,1,34,Ali Taleb,562,SHOES,WOMEN,0,60,34,WHITE,37,October,2021
2/18/2021,551,1,44.91,10/2/2021,551,FV2528 SHOES WOMEN REEBOK 38,1,34,Ali Taleb,551,SHOES,WOMEN,0,50,34,BLUE,38,October,2021
2/18/2021,592,1,53.47,10/2/2021,592,BS9987 SHOES MEN REEBOK 40.5,1,37,Ali Taleb,592,SHOES,MEN,0,60,37,BLACK,40.5,October,2021
2/18/2021,514,1,57.74,10/2/2021,514,192775-08 SHOES MEN PUMA 44.5,1,37,Ali Taleb,514,SHOES,MEN,0,60,37,BLACK RED,44.5,October,2021
2/20/2021,522,1,44.86,10/2/2021,522,372708-02 SHOES WOMEN PUMA 37.5,1,34,Ali Taleb,522,SHOES,WOMEN,0,50,34,GREY,37.5,October,2021
3/2/2021,613,1,21.1,2/24/2021,613,518481-K36 SHOES MEN LEVIS 41,1,20,Ali Taleb,613,SHOES,MEN,0,28,20,GRAY,41,February,2021
3/5/2021,620,1,5.53,2/24/2021,620,SN90129N SHOES KIDS SCKECHERS 17,1,3,Ali Taleb,620,SHOES,KIDS,0,8,3,BLUE,17,February,2021
3/9/2021,532,1,39.45,10/2/2021,532,FX3427 SHOES WOMEN ADIDAS 42 2\3,1,28,Ali Taleb,532,SHOES,WOMEN,0,45,28,GREY,42 2\3,October,2021
3/17/2021,604,1,18.32,10/2/2021,604,518830-41A SHOES MEN LEVIS 43,1,20,Ali Taleb,604,SHOES,MEN,0,28,20,BALCK,43,October,2021
3/17/2021,618,1,3.66,2/24/2021,618,SN90120N SHOES KIDS SCKECHERS 18.5,1,3,Ali Taleb,618,SHOES,KIDS,0,8,3,BLACK,18.5,February,2021
3/18/2021,618,-1,-4.15,2/24/2021,618,SN90120N SHOES KIDS SCKECHERS 18.5,1,3,Ali Taleb,618,SHOES,KIDS,0,8,3,BLACK,18.5,February,2021
3/19/2021,541,1,47.95,10/2/2021,541,FV2531 SHOES WOMEN REEBOK 38.5,1,34,Ali Taleb,541,SHOES,WOMEN,0,50,34,GREY,38.5,October,2021
3/22/2021,565,1,45.63,10/2/2021,565,H67656 SHOES WOMEN REEBOK 38.5,1,34,Ali Taleb,565,SHOES,WOMEN,0,50,34,WHITE,38.5,October,2021
3/23/2021,644,1,21.3,3/22/2021,644,CK4256-011 SPORT TSHIRT MEN NIKE XL,1,6,Ali Taleb,644,SPORT TSHIRT,MEN,0,25,6,BLACK,XL,March,2021
3/27/2021,523,1,56.52,10/2/2021,523,371131-03 SHOES MEN PUMA 46,1,37,Ali Taleb,523,SHOES,MEN,0,60,37,BLACK,46,October,2021
3/30/2021,614,1,7.84,2/24/2021,614,SN95041 N SHOES KIDS SCKECHERS 25.5,1,8,Ali Taleb,614,SHOES,KIDS,0,15,8,ORANGE,25.5,February,2021
3/31/2021,623,1,39.8,3/22/2021,623,1320736 HOODIE MEN UNDERARMOUR XL,1,13,Ali Taleb,623,HOODIE,MEN,0,38,13,BLUE,XL,March,2021
4/3/2021,645,1,34.32,3/22/2021,645,CJ4308-010 COTTON PANT MEN NIKE S,1,12,Ali Taleb,645,COTTON PANT,MEN,0,35,12,BLACK,S,March,2021
4/3/2021,603,1,11.41,10/2/2021,603,W90YP SHOES WOMEN NB 37.5,1,10,Ali Taleb,603,SHOES,WOMEN,0,15,10,YELLOW,37.5,October,2021
4/3/2021,615,1,8.58,2/24/2021,615,SN81136L SHOES KIDS SCKECHERS 27,1,8,Ali Taleb,615,SHOES,KIDS,0,15,8,BLUE,27,February,2021
4/6/2021,611,11,78.52,2/24/2021,611,PANT  LO PANT MEN ALL ALL,1,7,Ali Taleb,611,PANT,MEN,0,15,7,ALL,ALL,February,2021
4/8/2021,624,1,21.77,3/22/2021,624,795100012 JEANS PANT MEN LEVIS 36*32,1,8,Ali Taleb,624,JEANS PANT,MEN,0,25,8,MILITARY,36*32,March,2021
4/8/2021,599,1,19.16,10/2/2021,599,SOCKS-PUMA SOCKS MEN PUMA 6 12,35,420,Ali Taleb,599,SOCKS,MEN,0,22,12,BLACK\WHITE,6 12,October,2021
4/8/2021,648,1,19.74,6/4/2021,648,CT6868-010 SPORT T-SHIRT MEN NIKE M,1,7,Ali Taleb,648,SPORT T-SHIRT,MEN,0,20,7,BLACK,M,June,2021
4/9/2021,834,1,17.14,8/4/2021,834,558295 SHIRT MEN GOODFELLOW XL,1,6,Ali Taleb,834,SHIRT,MEN,0,18,6,BLUE,XL,August,2021
